time (ps),RMSD to cluster 1 (nm)
3310.0,0.3726
3320.0,0.3459
3330.0,0.362
3340.0,1.0685
3350.0,1.1073
3360.0,1.0954
3370.0,1.1207
3380.0,1.1201
3390.0,0.468
3400.0,1.0755
3410.0,1.0663
3420.0,0.4809
3430.0,0.5061
3440.0,0.4829
3450.0,0.4825
3460.0,1.1083
3470.0,1.0742
3480.0,0.5247
3490.0,0.5431
3500.0,1.1106
3510.0,0.5517
3520.0,0.5379
3530.0,0.5357
3540.0,0.5201
3550.0,0.4736
3560.0,0.479
3570.0,1.2577
3580.0,1.2144
3590.0,0.4765
3600.0,0.4837
3610.0,0.485
3620.0,0.5159
3630.0,0.4763
3640.0,0.4701
3650.0,0.4738
3660.0,1.2696
3670.0,1.2992
3680.0,1.2851
3690.0,0.6532
3700.0,0.6554
3710.0,0.6613
3720.0,0.4814
3730.0,0.4666
3740.0,0.468
3750.0,0.8731
3760.0,0.8551
3770.0,0.8332
3780.0,0.8147
3790.0,1.2039
3800.0,1.2486
3810.0,0.7676
3820.0,0.4465
3830.0,0.4424
3840.0,0.8458
3850.0,0.8428
3860.0,1.1641
3870.0,1.1502
3880.0,1.0577
3890.0,1.0811
3900.0,1.0756
3910.0,1.0724
3920.0,1.0853
3930.0,1.0782
3940.0,0.9157
3950.0,0.886
3960.0,0.512
3970.0,0.5144
3980.0,0.4673
3990.0,0.8477
4000.0,0.6239
4010.0,0.6033
4020.0,0.5865
4030.0,0.5778
4040.0,0.5703
4050.0,1.1286
4060.0,0.7266
4070.0,0.6855
4080.0,0.7078
4090.0,0.5806
4100.0,0.5845
4110.0,0.5844
4120.0,0.5868
4130.0,0.8616
4140.0,0.8763
4150.0,0.8787
4160.0,0.8771
4170.0,0.8694
4180.0,0.8822
4190.0,0.8632
4200.0,0.8294
4210.0,0.5867
4220.0,0.6201
4230.0,0.8346
4240.0,0.8515
4250.0,0.8577
4260.0,0.6351
4270.0,0.755
4280.0,0.6088
4290.0,0.7295
4300.0,0.9906
4310.0,0.9642
4320.0,1.0037
4330.0,0.9853
4340.0,1.0096
4350.0,0.6114
4360.0,0.6185
4370.0,1.5989
4380.0,1.575
4390.0,0.8609
4400.0,1.5736
4410.0,1.6399
4420.0,1.6278
4430.0,1.572
4440.0,1.0151
4450.0,1.0177
4460.0,1.0398
4470.0,1.0222
4480.0,1.0603
4490.0,1.1024
4500.0,1.081
4510.0,1.0846
4520.0,1.1214
4530.0,1.074
4540.0,1.2517
4550.0,1.3069
4560.0,1.0605
4570.0,1.0198
4580.0,1.0812
4590.0,1.3791
4600.0,1.4054
4610.0,1.4208
4620.0,0.4709
4630.0,0.785
4640.0,0.7737
4650.0,0.4697
4660.0,0.4738
4670.0,0.4655
4680.0,1.4549
4690.0,1.4327
4700.0,1.4207
4710.0,1.4288
4720.0,1.4143
4730.0,1.437
4740.0,0.7379
4750.0,0.4488
4760.0,0.4615
4770.0,1.3812
4780.0,0.4899
4790.0,0.5094
4800.0,0.5203
4810.0,0.5376
4820.0,0.5312
4830.0,0.7994
4840.0,0.7909
4850.0,0.7694
4860.0,0.8481
4870.0,0.8074
4880.0,0.8187
4890.0,0.8187
4900.0,0.6403
4910.0,0.6352
4920.0,0.634
4930.0,0.9897
4940.0,0.6513
4950.0,1.054
4960.0,0.6656
4970.0,0.6193
4980.0,0.6165
4990.0,0.9342
5000.0,0.9155
5010.0,0.9243
5020.0,0.9954
5030.0,1.004
5040.0,1.03
5050.0,0.607
5060.0,0.6021
5070.0,0.6193
5080.0,0.5996
5090.0,0.5997
5100.0,0.6107
5110.0,0.675
5120.0,0.6582
5130.0,1.0437
5140.0,1.0486
5150.0,1.0223
5160.0,0.9672
5170.0,0.9296
5180.0,0.649
5190.0,0.868
5200.0,0.8784
5210.0,0.8653
5220.0,0.7037
5230.0,0.7059
5240.0,0.5949
5250.0,0.6142
5260.0,0.6201
5270.0,0.6169
5280.0,0.6299
5290.0,0.8327
5300.0,0.8377
5310.0,0.8622
5320.0,0.8739
5330.0,0.6667
5340.0,0.6609
5350.0,0.6676
5360.0,0.6747
5370.0,0.6029
5380.0,0.632
5390.0,0.8676
5400.0,0.8677
5410.0,0.9366
5420.0,0.9361
5430.0,0.8686
5440.0,0.6043
5450.0,0.601
5460.0,0.5781
5470.0,1.0174
5480.0,0.5613
5490.0,1.0528
5500.0,1.0639
5510.0,0.5657
5520.0,0.584
5530.0,0.587
