time (ps),RMSD to cluster 1 (nm)
3310.0,0.6577
3320.0,0.6125
3330.0,0.6361
3340.0,0.6268
3350.0,0.6423
3360.0,0.6159
3370.0,0.6251
3380.0,0.6238
3390.0,0.7666
3400.0,0.6627
3410.0,0.6514
3420.0,0.6681
3430.0,0.6812
3440.0,0.6929
3450.0,0.6959
3460.0,0.6598
3470.0,0.6504
3480.0,0.6557
3490.0,0.6671
3500.0,0.6466
3510.0,0.637
3520.0,0.5872
3530.0,0.5865
3540.0,0.6073
3550.0,0.5998
3560.0,0.6015
3570.0,0.6323
3580.0,0.6841
3590.0,0.6908
3600.0,0.6021
3610.0,0.6886
3620.0,0.6865
3630.0,0.7121
3640.0,0.8278
3650.0,0.4276
3660.0,0.4077
3670.0,0.6996
3680.0,0.7087
3690.0,0.5816
3700.0,0.6008
3710.0,0.616
3720.0,0.6114
3730.0,0.599
3740.0,0.5965
3750.0,0.6177
3760.0,0.5503
3770.0,0.5403
3780.0,0.5809
3790.0,0.5448
3800.0,0.5465
3810.0,0.546
3820.0,0.5271
3830.0,0.522
3840.0,0.6192
3850.0,0.5212
3860.0,0.5303
3870.0,0.6121
3880.0,0.6092
3890.0,0.5235
3900.0,0.5616
3910.0,0.5893
3920.0,0.7424
3930.0,0.5875
3940.0,0.5856
3950.0,0.8819
3960.0,0.8634
3970.0,0.8784
3980.0,0.8621
3990.0,0.8724
4000.0,0.8393
4010.0,0.8798
4020.0,0.4155
4030.0,0.3837
4040.0,0.4043
4050.0,0.7387
4060.0,0.8795
4070.0,0.8579
4080.0,0.4576
4090.0,0.4415
4100.0,0.4464
4110.0,0.4714
4120.0,0.508
4130.0,0.4516
4140.0,0.6817
4150.0,0.6926
4160.0,0.7043
4170.0,0.6817
4180.0,0.7326
4190.0,0.4433
4200.0,0.4622
4210.0,0.5014
4220.0,0.4874
4230.0,0.6047
4240.0,0.5565
4250.0,0.5238
4260.0,0.6737
4270.0,0.6672
4280.0,0.6705
4290.0,0.5743
4300.0,0.5725
4310.0,0.6288
4320.0,0.683
4330.0,0.6168
4340.0,0.6294
4350.0,0.6419
4360.0,0.6619
4370.0,0.6322
4380.0,0.5988
4390.0,0.6577
4400.0,0.6362
4410.0,0.6248
4420.0,0.6645
4430.0,0.632
4440.0,0.6974
4450.0,0.6569
4460.0,0.6383
4470.0,0.6828
4480.0,0.6875
4490.0,0.707
4500.0,0.6051
4510.0,0.6151
4520.0,0.6172
4530.0,0.5969
4540.0,0.6933
4550.0,0.7015
4560.0,0.617
4570.0,0.5838
4580.0,0.5857
4590.0,0.7268
4600.0,0.6726
4610.0,0.692
4620.0,0.6707
4630.0,0.5306
4640.0,0.5388
4650.0,0.9949
4660.0,1.0416
4670.0,0.973
4680.0,0.6813
4690.0,0.6609
4700.0,0.9027
4710.0,0.6918
4720.0,0.9184
4730.0,0.8898
4740.0,0.8778
4750.0,0.7099
4760.0,0.7043
4770.0,0.7503
4780.0,0.6072
