tetragons,pentagons,hexagons,num_waters
0,0,0,16
1,0,0,16
0,0,0,19
2,0,1,20
1,2,1,21
0,0,0,21
0,0,0,18
0,0,0,21
0,0,0,21
1,0,0,19
1,0,0,20
0,0,0,20
1,0,0,14
0,0,0,22
1,0,0,19
0,0,1,19
2,0,0,18
0,0,0,18
0,0,0,18
0,0,1,18
1,0,0,18
0,0,0,17
1,0,0,16
0,1,0,17
0,0,1,18
0,1,0,18
0,1,0,17
0,0,0,16
0,0,1,22
0,0,0,17
0,1,0,21
0,2,0,18
0,0,0,18
0,1,0,19
0,0,0,15
2,1,4,22
0,0,0,19
1,0,0,20
0,0,0,17
2,0,2,20
2,0,0,22
0,1,0,23
0,0,1,19
0,0,0,18
1,1,0,21
1,1,1,18
3,2,0,21
0,1,0,19
1,0,1,20
1,0,0,19
0,0,1,18
1,0,4,21
0,0,0,20
0,2,0,23
0,0,0,14
1,0,0,18
1,0,0,18
0,0,0,19
0,0,0,17
1,1,0,19
0,1,0,17
1,0,0,21
2,1,0,24
0,0,1,21
0,0,1,22
0,0,1,22
0,0,0,18
0,1,0,21
0,0,0,17
1,0,0,19
0,0,0,19
0,0,0,16
0,0,0,22
0,0,0,19
2,0,0,18
0,0,1,17
0,0,0,17
1,0,1,18
0,0,0,22
0,0,0,16
3,0,0,19
1,0,0,17
0,0,0,18
0,0,0,20
1,0,0,21
1,0,0,19
0,0,0,15
1,1,0,20
0,0,0,19
1,1,0,22
0,0,1,17
0,0,1,20
0,1,0,17
1,3,0,18
5,0,0,20
0,1,0,23
0,0,0,19
1,0,0,18
0,0,1,17
1,0,0,16
0,0,0,20
1,1,0,20
0,0,0,17
1,0,0,20
2,1,0,19
0,0,0,17
2,0,0,17
1,1,2,20
1,0,1,22
0,0,0,20
1,0,0,15
1,0,1,16
0,0,0,17
0,0,0,15
1,0,0,19
0,1,0,18
0,0,0,16
0,1,0,18
0,0,2,18
0,0,0,13
1,0,1,22
0,0,0,19
0,0,1,17
0,0,0,16
0,0,1,19
0,0,0,20
1,0,3,18
0,1,0,19
0,0,0,18
1,0,0,20
1,2,0,19
0,0,0,22
1,3,0,21
0,0,0,18
3,0,2,19
0,0,0,17
0,0,0,19
1,2,0,23
2,1,1,21
0,1,2,19
0,0,0,21
2,0,0,22
1,0,1,17
0,0,0,16
0,1,0,18
0,0,0,18
0,0,0,15
0,1,0,20
0,1,0,17
1,0,2,17
1,0,0,18
1,0,0,16
1,1,0,15
1,0,0,16
1,1,0,17
0,0,0,17
0,1,0,19
0,0,1,18
0,1,0,17
0,0,0,19
1,0,0,21
2,0,0,18
0,0,0,13
0,0,0,18
0,0,0,14
0,0,0,19
0,0,0,18
0,0,0,19
2,0,0,20
2,1,1,22
0,0,1,20
0,0,1,20
0,0,0,15
0,0,0,20
1,0,0,20
0,0,0,16
0,1,0,16
1,0,0,20
1,0,0,15
0,1,0,16
2,0,0,19
0,0,0,16
1,0,1,20
0,0,0,15
0,0,0,13
0,0,1,18
0,0,0,17
0,0,0,17
1,0,0,16
1,0,0,20
0,0,0,21
2,0,0,20
1,0,0,20
0,1,1,22
2,0,1,23
1,2,1,20
0,0,1,19
0,2,1,18
0,0,0,21
0,0,0,23
0,0,0,18
1,0,0,16
2,0,0,18
0,0,0,15
1,0,1,17
0,0,0,17
0,0,1,19
0,0,0,15
1,1,0,23
0,1,0,19
0,0,0,17
1,2,0,21
0,0,0,19
0,0,0,21
0,0,0,21
2,0,0,20
1,0,0,20
1,0,0,18
0,1,0,22
0,0,0,17
0,0,0,17
0,0,0,19
0,0,0,16
0,2,0,21
0,0,0,18
0,0,1,12
0,1,1,17
0,1,1,17
0,0,0,16
0,2,0,22
0,0,0,17
0,0,0,18
0,0,0,18
0,0,0,17
0,0,0,14
0,1,0,16
0,1,0,16
0,0,1,17
0,0,0,16
1,0,0,18
3,1,0,20
0,0,0,15
1,1,0,17
0,0,0,18
0,0,0,20
0,0,1,19
0,1,0,19
0,0,0,20
1,0,1,22
1,3,0,20
0,2,0,21
2,0,0,18
0,0,1,19
1,0,0,18
0,0,0,18
0,0,1,18
0,0,0,21
1,0,2,21
0,1,1,21
1,0,0,19
0,0,0,19
0,0,0,22
0,0,0,20
1,0,1,17
1,0,0,22
3,1,1,22
0,0,0,19
0,0,0,18
0,0,0,17
0,1,2,20
0,0,0,18
0,0,0,19
0,0,0,16
0,0,0,22
1,0,0,19
0,0,0,21
0,0,1,17
0,0,1,18
1,1,0,21
0,0,2,19
0,1,0,22
0,0,0,19
0,0,0,19
1,0,0,16
1,0,0,18
0,0,0,19
0,0,0,17
0,1,0,19
2,1,0,21
1,0,0,20
0,0,0,18
0,0,0,15
0,0,0,19
0,0,0,23
1,0,0,19
1,0,0,20
0,1,0,20
1,2,0,22
2,0,0,17
1,2,0,17
0,0,0,18
0,0,2,22
0,1,0,19
0,0,0,19
0,0,0,19
0,0,0,16
0,0,0,21
0,0,0,19
