time (ps),RMSD to cluster 1 (nm)
3310.0,0.5244
3320.0,0.5343
3330.0,0.5384
3340.0,0.7102
3350.0,0.7423
3360.0,0.7558
3370.0,0.7613
3380.0,0.7662
3390.0,0.6127
3400.0,0.7553
3410.0,0.7412
3420.0,0.6031
3430.0,0.6307
3440.0,0.6175
3450.0,0.6015
3460.0,0.8043
3470.0,0.7993
3480.0,0.6209
3490.0,0.6218
3500.0,0.8027
3510.0,0.6283
3520.0,0.6299
3530.0,0.6303
3540.0,0.6311
3550.0,0.6075
3560.0,0.6137
3570.0,0.829
3580.0,0.8205
3590.0,0.6396
3600.0,0.6316
3610.0,0.6152
3620.0,0.634
3630.0,0.6332
3640.0,0.6545
3650.0,0.6459
3660.0,0.863
3670.0,0.8564
3680.0,0.8629
3690.0,0.672
3700.0,0.6786
3710.0,0.6813
3720.0,0.6273
3730.0,0.628
3740.0,0.6342
3750.0,0.558
3760.0,0.5658
3770.0,0.5537
3780.0,0.545
3790.0,0.8198
3800.0,0.8436
3810.0,0.5175
3820.0,0.6453
3830.0,0.6353
3840.0,0.5613
3850.0,0.573
3860.0,0.7714
3870.0,0.745
3880.0,0.6967
3890.0,0.7031
3900.0,0.687
3910.0,0.6848
3920.0,0.6854
3930.0,0.6895
3940.0,0.7125
3950.0,0.6919
3960.0,0.6297
3970.0,0.6389
3980.0,0.6381
3990.0,0.703
4000.0,0.6824
4010.0,0.6685
4020.0,0.6772
4030.0,0.6902
4040.0,0.6631
4050.0,0.6844
4060.0,0.5809
4070.0,0.5805
4080.0,0.5962
4090.0,0.6707
4100.0,0.6622
4110.0,0.6601
4120.0,0.6631
4130.0,0.883
4140.0,0.913
4150.0,0.9095
4160.0,0.9068
4170.0,0.893
4180.0,0.8986
4190.0,0.8965
4200.0,0.8756
4210.0,0.6981
4220.0,0.6889
4230.0,0.8836
4240.0,0.8877
4250.0,0.8865
4260.0,0.701
4270.0,0.6205
4280.0,0.6794
4290.0,0.6187
4300.0,0.8265
4310.0,0.8359
4320.0,0.8548
4330.0,0.848
4340.0,0.8457
4350.0,0.6971
4360.0,0.6904
4370.0,1.172
4380.0,1.1583
4390.0,0.8979
4400.0,1.1463
4410.0,1.2012
4420.0,1.179
4430.0,1.1376
4440.0,0.8544
4450.0,0.8736
4460.0,0.8971
4470.0,0.9021
4480.0,0.9051
4490.0,0.9384
4500.0,0.9275
4510.0,0.9458
4520.0,0.9748
4530.0,0.9371
4540.0,0.832
4550.0,0.883
4560.0,0.8516
4570.0,0.818
4580.0,0.8707
4590.0,0.9576
4600.0,0.9872
4610.0,0.9764
4620.0,0.6492
4630.0,0.4311
4640.0,0.4159
4650.0,0.6316
4660.0,0.6342
4670.0,0.615
4680.0,0.9761
4690.0,0.9604
4700.0,0.9322
4710.0,0.9574
4720.0,0.9728
4730.0,0.9956
4740.0,0.434
4750.0,0.6358
4760.0,0.6478
4770.0,0.9597
4780.0,0.6481
4790.0,0.6445
4800.0,0.6469
4810.0,0.6439
4820.0,0.6693
4830.0,0.4531
4840.0,0.4547
4850.0,0.473
4860.0,0.8873
4870.0,0.8676
4880.0,0.8772
4890.0,0.8844
4900.0,0.6441
4910.0,0.6636
4920.0,0.644
4930.0,0.8219
4940.0,0.6492
4950.0,0.8692
4960.0,0.6509
4970.0,0.6874
4980.0,0.6931
4990.0,0.7397
5000.0,0.7165
5010.0,0.7396
5020.0,0.795
5030.0,0.8193
5040.0,0.8521
5050.0,0.6539
5060.0,0.6484
5070.0,0.6452
5080.0,0.6831
5090.0,0.6935
5100.0,0.6811
5110.0,0.6549
5120.0,0.6503
5130.0,0.8052
5140.0,0.8215
5150.0,0.8111
5160.0,0.7779
5170.0,0.733
5180.0,0.6493
5190.0,0.8664
5200.0,0.8641
5210.0,0.8841
5220.0,0.525
5230.0,0.533
5240.0,0.7045
5250.0,0.701
5260.0,0.7069
5270.0,0.704
5280.0,0.7085
5290.0,0.8326
5300.0,0.8468
5310.0,0.8621
5320.0,0.8599
5330.0,0.645
5340.0,0.6538
5350.0,0.6576
5360.0,0.6489
5370.0,0.7147
5380.0,0.7197
5390.0,0.7284
5400.0,0.7146
5410.0,0.7552
5420.0,0.7765
5430.0,0.7363
5440.0,0.6955
5450.0,0.681
5460.0,0.6854
5470.0,0.7763
5480.0,0.6822
5490.0,0.7972
5500.0,0.8011
5510.0,0.6811
5520.0,0.6979
5530.0,0.693
5540.0,0.6741
5550.0,0.6871
5560.0,0.6771
5570.0,0.6739
5580.0,0.6433
5590.0,0.6526
5600.0,0.6542
5610.0,0.6443
5620.0,0.6493
5630.0,0.6663
5640.0,0.6623
5650.0,0.666
5660.0,0.6826
5670.0,0.6695
5680.0,0.6813
5690.0,0.6936
5700.0,0.672
5710.0,0.853
5720.0,0.5023
5730.0,0.4949
5740.0,0.5195
5750.0,0.5001
5760.0,0.4998
5770.0,0.4974
5780.0,0.4965
5790.0,0.4763
5800.0,0.4411
5810.0,0.451
5820.0,0.4469
5830.0,0.4305
5840.0,0.4289
5850.0,0.4387
5860.0,0.4801
5870.0,0.4966
5880.0,0.5199
5890.0,0.8301
5900.0,0.8373
5910.0,0.5032
5920.0,0.7241
5930.0,0.7136
5940.0,0.5294
5950.0,0.5334
5960.0,0.727
5970.0,0.5252
5980.0,0.9858
5990.0,0.3824
6000.0,0.4058
